Main_Genre,imdb_rating,length,rank_in_year,rating,studio,title,worldwide_gross,year
Comedy,7.6,109,3,R,Universal Pictures,National Lampoon's Animal House,"$120,091,123.00 ",1978
Comedy,6.2,114,4,PG,Warner Bros,Every Which Way but Loose,"$85,196,485.00 ",1978
Sport,6.9,101,5,PG,Paramount Pictures,Heaven Can Wait,"$81,640,278.00 ",1978
Comedy,6.2,99,6,PG,Warner Bros,Hooper,"$78,000,000.00 ",1978
Thriller,5.7,116,7,PG,Universal Pictures,Jaws 2,"$77,737,272.00 ",1978
Horror,8,127,8,R,Metro-Goldwyn-Mayer,Dawn of the Dead,"$59,020,957.00 ",1978
Thriller,6.7,99,9,PG,Metro-Goldwyn-Mayer,Revenge of the Pink Panther,"$49,579,269.00 ",1978
War,8.2,182,10,R,Universal Pictures,The Deer Hunter,"$48,979,328.00 ",1978
Fantasy,8.7,121,1,PG,Lionsgate Films,Star Wars,"$307,263,857.00 ",1977
Romance,6.8,96,2,PG,Universal Pictures,Smokey and the Bandit,"$126,737,428.00 ",1977
Sci-Fi,7.7,137,3,PG,Columbia Pictures,Close Encounters of the Third Kind,"$116,395,460.00 ",1977
Romance,7.4,111,4,PG,Metro-Goldwyn-Mayer,The Goodbye Girl,"$102,000,000.00 ",1977
Romance,6.8,118,5,R,Paramount Pictures,Saturday Night Fever,"$94,213,184.00 ",1977
Fantasy,6.5,98,6,PG,Warner Bros,"Oh, God!","$51,061,196.00 ",1977
War,7.4,175,7,PG,Metro-Goldwyn-Mayer,A Bridge Too Far,"$50,750,000.00 ",1977
Thriller,6.1,123,8,PG,Columbia Pictures,The Deep,"$47,346,365.00 ",1977
Thriller,7.1,125,9,PG,Metro-Goldwyn-Mayer,The Spy Who Loved Me,"$46,838,673.00 ",1977
Romance,8.1,93,10,PG,Metro-Goldwyn-Mayer,Annie Hall,"$38,251,425.00 ",1977
Sport,8.1,119,1,PG,Metro-Goldwyn-Mayer,Rocky,"$117,235,147.00 ",1976
History,7,27,2,G,National Air and Space Museum,To Fly!,"$86,600,000.00 ",1976
Romance,6.5,139,3,R,Warner Bros,A Star Is Born,"$80,000,000.00 ",1976
Thriller,8,138,4,R,Warner Bros,All the President's Men,"$70,600,000.00 ",1976
Thriller,7.6,111,5,R,20th Century Fox,The Omen,"$60,922,980.00 ",1976
Family,4.6,99,6,G,Sunn Classic Pictures,In Search of Noah's Ark,"$55,700,000.00 ",1976
Horror,5.8,134,7,PG,Paramount Pictures,King Kong,"$52,614,445.00 ",1976
Crime,6.9,114,8,PG,20th Century Fox,Silver Streak,"$51,079,064.00 ",1976
Thriller,6.8,96,9,R,Warner Bros,The Enforcer,"$46,236,000.00 ",1976
History,6.7,132,10,PG,Universal Pictures,Midway,"$43,220,000.00 ",1976
Drama,8.1,125,4,R,Warner Bros,Dog Day Afternoon,"$50,000,000.00 ",1975
Romance,6.3,109,5,R,Columbia Pictures,Shampoo,"$49,407,734.00 ",1975
Thriller,7.1,113,6,G,Metro-Goldwyn-Mayer,The Return of the Pink Panther,"$41,833,347.00 ",1975
Music,6.4,136,7,PG,Columbia Pictures,Funny Lady,"$39,000,000.00 ",1975
Family,6.2,100,8,G,Walt Disney Pictures,The Apple Dumpling Gang,"$36,853,000.00 ",1975
Drama,6,88,9,PG,Columbia Pictures,"Aloha, Bobby and Rose","$35,000,000.00 ",1975
Drama,6.4,103,10,PG,Universal Pictures,The Other Side of the Mountain,"$34,673,100.00 ",1975
