Entry,Neighborhood,Latitude,Longitude,Lot Size,Finished Size,Sale Price,Year Built,Bathrooms,Bedrooms
258,Squirrel Hill South,40.424622,-79.925217,4170,1488," $258,197 ",1925,2,4
259,Squirrel Hill South,40.4312,-79.916806,2500,2003," $264,453 ",1920,,0
260,Manchester,40.454909,-80.026269,3049,3392," $266,121 ",1900,3.5,4
261,Point Breeze,40.447627,-79.916593,2304,1594," $266,199 ",1900,1.5,3
262,Southside Flats,40.426386,-79.973466,1440,2166," $269,235 ",1900,2.5,3
263,Squirrel Hill South,40.422988,-79.925707,1646,1694," $277,092 ",1978,1.5,3
264,Point Breeze,40.448699,-79.915604,2400,1640," $282,752 ",1897,1.5,4
265,Southside Flats,40.425542,-79.97472,1230,1535," $283,766 ",1950,1,1
266,Southside Flats,40.425581,-79.974543,1135,1600," $285,804 ",2001,2,1
267,Southside Flats,40.43005,-79.981325,1200,2084," $287,110 ",1900,1.5,3
268,Bloomfield,40.456745,-79.950363,1568,1748," $287,114 ",1995,1.5,3
269,Squirrel Hill South,40.423826,-79.918208,4000,1816," $293,168 ",1940,1.5,4
270,North Oakland,40.449056,-79.948428,1910,1910," $293,618 ",1973,2,2
271,Squirrel Hill South,40.433077,-79.919559,4350,2407," $297,718 ",1910,4,5
272,Squirrel Hill South,40.431766,-79.921158,3504,2699," $298,980 ",1916,3,4
273,Point Breeze,40.44546,-79.906115,2500,1820," $301,493 ",1915,1.5,4
274,Squirrel Hill South,40.427377,-79.920715,7500,1976," $304,575 ",1925,4,4
275,Point Breeze,40.449547,-79.914849,2700,1743," $310,121 ",1910,1.5,5
276,Shadyside,40.455309,-79.937307,2600,2205," $310,579 ",1905,2.5,4
277,Squirrel Hill South,40.436278,-79.913159,6461,2350," $313,883 ",1930,3,5
278,Swisshelm Park,40.422888,-79.902697,6900,1948," $315,957 ",1952,2.5,4
279,Southside Flats,40.428121,-79.981948,1440,2640," $318,561 ",1900,1,2
280,Shadyside,40.455761,-79.927896,2492,1753," $323,752 ",1900,1.5,3
281,Swisshelm Park,40.422517,-79.902235,12600,2011," $327,139 ",1951,2,4
282,Squirrel Hill South,40.434173,-79.929494,4125,2138," $331,714 ",1930,2,5
283,Shadyside,40.452696,-79.925589,1402,1402," $333,747 ",1890,2,2
284,Shadyside,40.455936,-79.934722,1308,1308," $334,065 ",2006,2,2
285,Central Northside,40.458108,-80.012692,1960,2080," $336,005 ",1880,2.5,4
286,Mount Washington,40.429335,-80.001514,7463,1586," $337,697 ",1899,3,3
287,Squirrel Hill South,40.423895,-79.919199,10653,1856," $340,523 ",1949,2,4
288,Bloomfield,40.462076,-79.936933,3999,2975," $340,625 ",1904,3,6
289,Mount Washington,40.428614,-79.997824,4140,3225," $341,994 ",1880,2.5,6
290,Duquesne Heights,40.440977,-80.024997,1411,1411," $347,581 ",1817,2,2
291,Point Breeze,40.450723,-79.914273,2616,1620," $348,563 ",1908,2.5,3
292,Squirrel Hill North,40.444356,-79.930092,6645,1944," $349,438 ",1927,2.5,4
293,Point Breeze North,40.451774,-79.903416,8371,3921," $350,767 ",1911,5,7
294,Bloomfield,40.461797,-79.941318,3638,2910," $357,177 ",1890,3.5,4
295,Squirrel Hill South,40.419393,-79.925742,7651,2608," $359,080 ",1957,4,5
296,Point Breeze,40.453125,-79.911706,6000,1939," $359,139 ",1938,3.5,4
297,Bloomfield,40.460181,-79.939587,8000,4763," $368,697 ",1894,,0
298,Southside Flats,40.429698,-79.977926,5000,2400," $376,314 ",1862,2,3
299,Mount Washington,40.427142,-80.002885,2066,2243," $378,357 ",1950,2.5,4
300,Squirrel Hill North,40.44073,-79.921017,2053,1824," $379,375 ",1961,3.5,3
301,Shadyside,40.455004,-79.926158,3000,2004," $381,840 ",1910,2,2
302,Squirrel Hill North,40.449846,-79.927995,2584,2584," $384,529 ",1980,2,3
303,Squirrel Hill South,40.43206,-79.914769,8250,2125," $384,878 ",1918,1.5,3
304,Squirrel Hill North,40.440574,-79.925758,1250,2127," $385,374 ",1985,3.5,3
305,Highland Park,40.472206,-79.919093,4207,2470," $388,089 ",1935,4,4
306,Squirrel Hill North,40.438222,-79.91676,3632,2052," $389,131 ",1948,2.5,4
307,Southside Flats,40.431475,-79.981966,821,1720," $393,579 ",1999,2.5,2
308,Point Breeze,40.448937,-79.904381,6400,2550," $396,904 ",1945,2,4
309,Southside Flats,40.427716,-79.972614,1151,2644," $398,625 ",1900,3,3
310,Highland Park,40.47134,-79.919894,5740,2813," $398,830 ",1910,3,6
311,Squirrel Hill South,40.418699,-79.917721,3729,1742," $400,775 ",2008,2.5,3
312,Shadyside,40.451899,-79.933525,2650,1600," $402,676 ",1910,3.5,4
313,Shadyside,40.447937,-79.94515,2451,1600," $424,743 ",1978,3,4
314,Shadyside,40.455341,-79.936066,2776,2256," $424,989 ",1900,2.5,4
315,Central Business District,40.44091,-79.999633,1054,1054," $426,551 ",2008,1,1
316,Shadyside,40.450594,-79.948559,5624,1920," $426,774 ",1971,2.5,3
317,Highland Park,40.476168,-79.925778,7950,4114," $434,728 ",1920,3.5,6
318,Shadyside,40.453979,-79.932801,1667,2018," $441,320 ",1910,2,2
319,East Liberty,40.470523,-79.924407,13446,6000," $469,601 ",1915,6,9
