name,latitude,longitude
Taco Bell,60.4891,-151.0518
Quiznos,61.096165,-150.09395
Tastee Freez,61.15926,-149.95401
Subway,61.1389389,-149.951375
Taco Bell,61.1383,-149.9504
SUBWAY,61.1953,-149.9088
Big Boy Burger/Express Market,61.18834,-149.9085
McDonald's,61.195171,-149.898216
Acai Alaska,61.14373,-149.89478
Arby's,61.217082,-149.887645
SUBWAY,61.21157,-149.87608
Kumagoro Fine Japanese Restaurant and Sushi Bar,61.21157,-149.87608
Sorrento's Restaurant,61.1978,-149.8712
McDonalds,61.14016,-149.870107
SUBWAY,61.192,-149.8682
Subway,61.165314,-149.867431
Arby's,61.14323525,-149.8668543
Subway,61.108263,-149.856618
QDOBA Mexican Eats,61.1431,-149.8475
KFC,61.1416,-149.8469
Carl's Jr,61.1373,-149.84077
Subway,61.1391,-149.8351
McDonald's,61.180978,-149.832147
SUBWAY,61.1809,-149.8299
Subway,61.15354,-149.82892
SUBWAY,61.210646,-149.828611
Subway,61.1897,-149.8219
Subway,61.215546,-149.812281
Sweet Pink Pepper,61.2076,-149.8035
Subway,61.2219,-149.7785
Sara's Too,61.195732,-149.77824
Saras Too,61.1959,-149.7777
Panda Express,61.203697,-149.74467
Subway,61.211375,-149.743723
McDonald's,61.229535,-149.742225
Regal Cinemas Tikahtnu  16 IMAX & RPX,61.22662692,-149.7408595
Quiznos,61.221876,-149.734996
SUBWAY,61.224123,-149.733715
Taco Bell,61.21122282,-149.7324163
Arby's,61.3262,-149.5718
Carl's Jr,61.331815,-149.565417
Wendy's,61.58225,-149.46837
Mekong Thai Cuisine,61.5828,-149.4616
Subway,60.1169,-149.4418
BLIMPIE,61.57771,-149.44148
Senor Taco,61.58177,-149.43418
Pizza Hut,61.5814,-149.4291
Arby's,61.57597,-149.408107
KFC,61.5785,-149.4072
Subway,61.5765,-149.4033
Red Robin Gourmet Burgers,61.5752,-149.4024
Evangelo's Restaurant,61.571632,-149.38394
Evangelo's Restaurant,61.5712,-149.3838
Dairy Queen,61.613815,-149.06532
Taco Bell,64.835505,-147.81325
Carl's Jr,64.83544,-147.8117
AW Restaurants,64.83703,-147.80067
Pizza Hut,64.8373,-147.7606
Lin's Asian Bistro,64.8369,-147.7568
SUBWAY,64.83742,-147.75632
Wendy's,64.8366,-147.755
Pizza 4 Less,64.8477,-147.7221
C J Drive In,64.8268,-147.7137
C & J Drive In,64.82639,-147.71358
Pizza Hut,64.84024,-147.71043
Domino's Pizza,64.84024,-147.71043
Ak Buffet,64.8466,-147.7005
Quiznos,64.84982,-147.69865
SUBWAY,64.85688,-147.68959
Taco Bell,64.756076,-147.35411
Burger King,64.67352,-147.0805
The Fat Mermaid,61.126984,-146.34961
Fat Mermaid,61.1273,-146.3446
McDonald's,57.0601,-135.3493
Canton House,58.3636,-134.5751
Domino's Pizza,58.30058,-134.418406
Taco Time,55.3484,-131.67413
Pizza Mill,55.3445,-131.6533
Subway,43.1209,-124.4001
Dairy Queen,43.3595,-124.3063
Subway,42.0552,-124.2908
Subway,43.391444,-124.243445
McDonald's,43.39221,-124.23874
Yeongs Place,43.406922,-124.228679
Wendy's,43.35924,-124.21348
McDonald's,43.361532,-124.213226
Taco Bell,43.35771,-124.212504
Abby's Legendary Pizza,43.35798,-124.21237
Arby's,43.356107,-124.210666
Pizza Hut,41.7642,-124.197
Taco Bell,41.755062,-124.193834
SUBWAY,41.77449,-124.19004
SUBWAY,41.75281,-124.18705
Taco Bell,40.780674,-124.185734
Subway,40.782089,-124.180318
SUBWAY,40.7926,-124.1789
Mike's Drive-Up,40.8001,-124.1751
Roy's Club Italian Restaurant,40.8042,-124.1688
Cafe Waterfront,40.805166,-124.16689
Surfside Burger Shack,40.802,-124.1665
Masaki Kyoto Japanese Restaurant,40.80317,-124.16638
Ocean Beach Roasters,47.01308,-124.162415
Annie's Cambodian Cuisine,40.8041,-124.151
Burger King,40.580032,-124.146682
Dairy Queen,43.96732,-124.108692
Pizza Hut,43.9839,-124.10086
Subway,44.003145,-124.100431
McDonald's,43.974386,-124.097926
Subway,40.8754,-124.0836
Philly Cheese Steak Shoppe,40.87622,-124.08335
Carl's Jr.,40.90289,-124.08334
Cafe Stephanie,44.6389,-124.0607
Subway,44.654551,-124.055182
McDonald's,46.341977,-124.05442
Chen's Restaurant,46.35359,-124.05399
Corral Drive In,46.37067,-124.05316
McDonald's,44.647361,-124.053022
Lee's Chinese Restaurant,44.9665,-124.01723
Burger King,44.961723,-124.01468
Dairy Queen,44.981688,-124.007326
Salmon River Pronto Pup,45.01923,-123.94896
Dairy Queen,44.6305,-123.9291
Bee Bop Burgers,45.993,-123.9287
SUBWAY,45.9924,-123.9276
Taco Time,45.9888,-123.9221
Taco Bell,45.98959,-123.9214
McDonald's,45.99216,-123.92045
McDonald's,45.99216,-123.92045
Dairy Queen,46.02315,-123.91137
SUBWAY,46.1611,-123.899
Pizza Hut,46.16234,-123.89713
McDonald's,46.97549,-123.86704
Dairy Queen,46.178289,-123.85458
McDonald's,45.486681,-123.845556
Taco Time,46.19063,-123.845075
Subway,46.1906,-123.8431
Dairy Queen,46.97539,-123.83795
Orange Julius,46.97539,-123.83795
McDonald's,46.190432,-123.836124
Jack in the Box,46.976,-123.8139
Burger King,46.976169,-123.811008
McDonald's,46.977,-123.8059
