game_id,name,year_published,average_rating,users_rated,playing_time
172,For Sale,1997,7.22213,15544,20
173,Formula Dé,1991,6.99229,7085,120
174,T-Rex,1999,5.52782,248,45
175,Raj,1988,6.46531,1470,20
176,Give Me the Brain!,1996,5.85431,1919,30
178,Mole Hill,1997,5.94555,191,15
180,Pool Position,1999,5.78083,120,30
181,Risk,1959,5.57906,21836,120
182,Knights of Charlemagne,1995,6.36252,604,30
183,Stonehenge,1994,6.23304,112,15
185,Devil Bunny Needs a Ham,1998,5.39,680,30
186,Split,1999,5.81686,157,30
189,Die Siedler von Nürnberg,1999,6.97379,831,90
190,Dolce Vita,1999,6.15628,183,30
192,Nicht die Bohne!,1999,6.3659,881,45
193,Fill or Bust,1981,5.69269,401,30
194,Groo: The Game,1997,6.26817,752,45
195,NASCAR Champions,1998,5.36389,90,30
196,Kremlin,1986,6.99614,2452,75
197,HellRail (Second Perdition),1999,6.07118,92,75
198,Buried Treasure,1992,6.01825,228,30
199,Manhattan,1994,6.68878,3694,45
200,Entdecker,1996,6.50041,1239,60
201,The Rose King,1997,6.82082,2361,30
202,Targui,1988,6.33415,600,120
204,Stephenson's Rocket,1999,6.87101,2081,60
206,Pepper,1998,5.75714,105,45
207,Twitch,1998,6.17692,169,15
208,Ex & Hopp,1996,5.39016,61,30
210,Don Pepe,1999,6.24783,345,30
211,Times to Remember,1992,6.29091,198,45
214,Café International,1989,6.28113,1994,60
215,Tichu,1991,7.60888,10556,60
216,Atlanteon,1992,5.81039,648,30
217,A la carte,1989,6.50098,2629,30
218,High-Bid,1965,5.77588,228,25
219,Volle Hütte,1997,6.17719,160,30
220,High Society,1995,6.76805,4339,30
221,Ikusa,1986,7.00973,4283,360
222,Space Beans,1999,6.08948,1300,40
223,Expedition,1996,6.88525,980,90
224,History of the World,1991,7.1321,3961,180
225,Icehouse,1989,6.66445,602,20
228,Lunch Money,1996,5.64856,2362,20
229,King of the Elves,1999,6.23698,1218,60
230,Merchant of Venus,1988,7.17453,2416,180
231,Geronimo,1995,5.58441,209,480
232,Serenissima (first edition),1996,6.89152,2092,120
234,Hannibal: Rome vs. Carthage,1996,7.82769,4305,200
235,Blackbeard,1991,6.34825,1266,180
237,Wooden Ships & Iron Men,1974,6.99472,1694,60
239,Wagram,1975,6.76369,84,90
240,Britannia,1986,7.22662,3585,240
241,Age of Exploration,1994,6.0348,171,180
242,Junta,1978,6.76122,4450,240
243,Advanced Squad Leader,1985,7.93771,2938,480
244,Circus Maximus,1979,6.7112,1411,120
247,Gloria Picktoria,1996,6.40256,945,45
248,Blood Royale,1987,6.4994,586,240
249,Lifeboats,1993,6.6131,2986,90
250,Colonial Diplomacy,1994,6.62425,341,360
252,Borodino,1972,6.65135,126,180
255,Jena-Auerstadt,1975,5.98039,51,150
256,Mississippi Queen,1997,6.3835,3273,45
257,Kill Doctor Lucky,1996,6.15279,5268,45
258,Fluxx,1997,5.69886,12304,30
259,Atlantic Storm,1997,6.49863,494,60
260,Starship Troopers: Prepare For Battle!,1997,5.72447,188,45
261,Olympia 2000 (v. Chr.),1994,6.06444,248,30
263,Manitou,1997,6.11949,331,45
264,Enemy in Sight,1988,6.249,611,120
265,Intrigue,1994,6.37047,2167,45
267,Tycoon,1998,6.80482,626,90
268,Cheops,1998,6.19837,246,45
270,Svea Rike,1997,6.35628,487,120
271,It's Mine!,1998,5.95769,411,30
272,Downtown,1996,6.34511,133,60
273,Africa 1880,1997,5.65114,132,120
274,Guerilla,1994,6.25277,361,60
276,La Guerre de l'Empereur,1997,6.38333,60,240
277,Res Publica,1991,5.94631,849,60
278,Catan Card Game,1996,6.77393,11105,90
279,The Very Clever Pipe Game,1996,6.23604,787,20
282,Vikingatid,1997,6.0403,67,300
284,Lords of the Sierra Madre (second edition),1995,6.22308,130,240
285,Monsters Ravage America,1998,5.84286,280,90
286,Machiavelli,1977,7.08793,882,480
287,Bazaar,1967,6.5089,1444,45
288,Rossyïa 1917,1995,7.25508,63,300
289,Chariot Lords,1999,6.69541,196,360
290,Gold Digger,1990,5.72677,620,20
291,Courtisans of Versailles,1988,5.80276,163,120
292,Attacke,1993,5.73231,130,30
293,Bamboleo,1996,6.40881,1170,30
294,Keydom,1998,6.78667,75,90
295,Europa 1945-2030,1998,5.94204,314,120
296,Medieval Merchant,1998,6.76731,1066,90
297,Stadens Nyckel,1998,5.31875,104,120
298,Lang lebe der König,1997,5.17768,69,60
299,De Bellis Antiquitatis,1990,7.14559,563,60
300,Tutankhamen,1993,6.13258,1197,30
301,Campanile,1996,6.1877,317,30
302,Forum Romanum,1988,6.79507,400,45
303,Koalition,1992,6.43071,184,90
304,Ever Green,1999,5.52255,326,30
305,Der Fliegende Holländer,1992,6.01538,273,60
307,Candidate,1991,5.53743,169,90
308,Santa Fe,1992,6.95543,215,70
309,Arabana-Ikibiti,1997,6.20714,70,20
310,Wizard's Quest,1979,6.16843,1244,180
311,Time Agent,1992,6.66097,237,240
312,Landlord!,1992,5.87488,888,10
313,Big Boss,1994,7.0836,334,90
314,Highlanders,1993,6.24854,171,60
316,Chase,1986,6.81966,267,45
317,The Mob,1993,6.35923,168,60
321,The Mole in the Hole,1995,6.3309,673,45
322,Tonga Bonga,1998,6.48544,449,45
323,Anno 1452,1999,6.06722,180,90
324,Ponte Vecchio,1996,5.79551,78,90
327,Loopin' Louie,1992,6.88984,6617,10
330,Block Mania,1987,6.42973,374,120
332,Vernissage,1993,6.32335,182,60
333,Waterworks,1972,5.46077,1562,30
334,Advance to Boardwalk,1985,5.35075,626,60
335,Breakthru,1965,5.75129,288,15
336,Jumpin,1964,5.45858,169,15
337,Circus Flohcati,1998,6.64011,1946,15
338,Bargain Hunter,1998,6.78337,653,60
339,Quiddler,1998,6.03172,2383,30
340,Frank's Zoo,1999,6.6339,2960,60
342,Hong Kong,1999,5.76522,69,15
343,Twins,1996,6.20182,110,30
344,Members Only,1996,6.60217,311,45
347,Fishy,1991,5.59262,61,30
348,Merchants of the Middle Ages,1999,6.7997,1220,120
349,Halunken & Spelunken,1997,5.604,269,30
350,Hattrick,1995,6.4972,266,30
352,Trumpet,1990,6.09829,462,45
353,Inkognito: The Card Game,1997,5.41744,490,30
354,Sticheln,1993,7.02497,2255,60
355,Das letzte Paradies,1993,5.74043,141,30
356,Ab die Post!,1996,5.29609,179,45
357,Excape,1998,6.30864,1349,30
359,Bucket Brigade,1998,6.04456,542,30
360,Quests of the Round Table,1995,5.35462,260,60
361,Hare & Tortoise,1973,6.65489,3594,45
362,Elefantenparade,1988,5.80783,166,20
363,Katzenjammer Blues,1998,5.88615,646,20
364,Samarkand,1980,6.48518,718,30
365,Tricks,1995,5.66685,54,30
366,Viva Pamplona!,1992,6.3549,363,45
367,Overthrone,1999,5.32019,264,90
368,Relationship Tightrope,1999,6.17973,975,30
369,5ive Straight,1958,6.26179,246,20
371,Mystery Rummy: Murders in the Rue Morgue,1999,6.73014,700,40
372,Schotten Totten,1999,7.29412,3732,20
374,Colorado County,1998,6.15786,159,60
375,6 Billion,1999,5.30754,134,120
376,DruidenWalzer,1999,5.95985,715,45
378,Lancashire Railways,1998,6.90849,106,120
379,Express,1990,6.19128,578,60
380,Polarity,1986,6.41286,1600,20
381,X Pasch,1996,6.21889,90,90
382,Heimlich & Co.,1984,6.44488,2656,30
383,Turf Horse Racing,1995,6.52979,94,60
384,TurfMaster,1998,7.22221,826,75
386,Pirateer,1978,5.48493,1133,15
387,Corruption,2000,5.82333,323,45
388,Finale,1998,5.77544,228,30
389,Die Mauer,1997,6.0572,254,30
392,Brawl,1999,6.40607,1062,15
393,Dinosaurs of the Lost World,1987,6.53874,374,90
394,Kahuna,1998,6.66319,6017,40
396,Der dreizehnte Holzwurm,1998,5.97837,104,45
397,Diskwars,1999,5.86345,484,90
398,Wildlife Safari,1994,6.61356,2473,30
399,Tom Clancy's Politika,1997,4.16234,192,90
400,Shanghai,1997,5.30547,128,30
401,Gold Connection,1992,6.48705,139,60
403,Elk Fest,1999,6.17664,1617,15
404,Worm Up!,1994,5.89225,812,15
406,Weer en wind,1989,5.64062,80,90
408,Zoon,1999,5.4502,255,30
409,Dschungel,1999,4.7069,58,30
410,D'r Af,1999,5.88542,72,45
413,Die Erben von Hoax,1999,6.13145,124,45
414,Around the World in 80 Days,1986,6.01233,227,60
416,A to Z,1992,6.1305,197,30
417,Edison & Co.,1998,4.48156,315,45
420,Rail Baron,1977,6.5567,1380,240
421,1830: Railways & Robber Barons,1986,7.80835,3356,360
422,1835,1990,7.01206,619,360
423,1856,1995,7.4858,1051,300
424,1870,1992,7.42473,806,360
425,Thunder's Edge,1999,6.22912,132,240
426,Battle of the Bulge,1981,6.48018,343,120
427,Grass,1980,5.93233,970,60
428,Galopp Royal,1995,5.8585,200,45
429,Magalon,1998,5.97778,198,60
430,Asterix: Das Kartenspiel,1990,5.94308,130,30
431,Alhambra: The Card Game,1992,6.43777,662,45
432,6 nimmt!,1994,6.88907,11674,45
433,Shark,1987,6.66475,1166,90
434,Yucata',1996,5.84062,438,30
436,Canyon,1997,6.25026,705,45
437,Master Labyrinth,1991,6.28771,1928,30
438,Scotland Yard,1983,6.51215,10344,45
440,Zoff in Buffalo,1998,6.34751,261,45
441,Filthy Rich,1998,6.37809,647,60
442,Um Reifenbreite,1979,6.85807,1859,90
443,Code 777,1985,6.73389,1628,60
444,Midnight Party,1989,6.4341,1317,30
445,Die Osterinsel,1994,5.77665,191,30
446,Avalanche,1965,5.78434,198,30
449,The Great Balloon Race,1991,6.16867,233,30
450,Octi,1999,6.76895,287,30
452,Mummy Rummy,1994,5.03517,145,30
454,Tante Tarantel,1991,6.17126,127,30
455,Am Fuß des Kilimandscharo,1995,5.5481,79,45
457,Jumbo Grand Prix,1998,5.80826,121,30
458,Sherlock Holmes: The Card Game,1991,6.39434,408,60
459,Ausgebremst,1993,6.92169,225,45
460,Railway Rivals,1973,6.73769,346,90
461,Freibeuter,1998,6.30989,177,60
462,Esels-Rennen,1989,5.5,112,15
463,Magic: The Gathering,1993,7.43768,22883,20
464,Billabong,1995,6.85222,675,30
465,Zankapfel,1993,6.24561,57,60
466,Inkognito,1988,6.59832,2364,90
469,In Teufels Küche,1993,6.06972,109,60
470,Road to the White House,1992,6.13635,249,240
471,Totem,1995,5.41553,103,90
472,DungeonQuest,1985,6.69175,2296,60
473,Olé!,1996,6.58429,226,30
474,Cold War,1984,6.17819,204,180
475,Taj Mahal,2000,7.33569,6220,100
476,Mr. President,1967,6.61184,266,60
477,The Broadway Game,1981,6.41726,113,120
478,Citadels,2000,7.14768,37607,60
479,Bambuti,1999,5.9287,115,20
481,Carolus Magnus,2000,6.85188,3061,60
482,Sky Runner,1999,5.57924,361,30
483,Diplomacy,1959,7.06461,9840,360
484,Stratego Legends,1999,5.75063,655,60
485,Galloping Pigs,1992,5.71878,863,30
486,Barnyard Buddies,1996,5.78521,186,15
487,Power,1981,6.00413,206,30
490,Warangel,2000,7.66751,235,60
491,Web of Power,2000,7.30828,3044,60
492,Aladdin's Dragons,2000,6.93687,2863,90
494,Ave Caesar,1989,6.63911,3826,30
495,Time Pirates,2000,5.57321,237,60
497,Vampire,2000,5.89425,562,30
499,Arbos,1999,6.37324,330,30
500,MARK,1997,5.97222,54,60
503,Through the Desert,1998,7.04787,10553,45
504,Die Verbotene Stadt,1992,6.18649,111,60
505,Goldener Drache,1992,5.72656,96,30
506,The Big Cheese,1998,5.88454,454,30
507,Cartel,1973,6.93382,158,90
508,Blue Max,1983,7.10924,724,60
509,The Reef,2000,5.69996,684,60
510,Eschnapur,2000,5.72727,194,60
511,Silverton,1991,7.08763,929,180
514,True Colors,1989,6.00105,381,30
515,6-Tage Rennen,1986,6.89286,232,60
519,Mush,1994,5.83739,111,60
520,Axis & Allies: Europe,1999,6.50872,2240,210
524,Desperados,1990,5.53492,309,30
