nation,date,Region,Total Population,GDP/Person (PPP$),Life Expectancy
Japan,2010,East Asia & Pacific,"126,535,920",30731.99257,83.092
Niger,2010,Sub-Saharan Africa,"15,511,953",661.1771297,56.956
Brazil,2010,America,"194,946,470",10195.44815,73.121
Guinea,2010,Sub-Saharan Africa,"9,981,590",939.3718791,55.317
Panama,2010,America,"3,516,820",11494.67388,76.916
Guyana,2010,America,"754,493",3937.588619,65.775
Luxembourg,2010,Europe & Central Asia,"507,448",70402.8428,80.004
West Germany,2010,Europe & Central Asia,,,
Nigeria,2010,Sub-Saharan Africa,"158,423,182",2297.341367,51.297
Serbia excluding Kosovo,2010,Europe & Central Asia,,,
Ecuador,2010,America,"14,464,739",7182.70775,75.647
Bangladesh,2010,South Asia,"148,692,131",1621.048571,69.449
Belarus,2010,Europe & Central Asia,"9,595,421",12490.18818,69.613
Iran,2010,Middle East & North Africa,"73,973,630",12483.19957,73.094
Algeria,2010,Middle East & North Africa,"35,468,208",6300.648214,70.615
El Salvador,2010,America,"6,192,993",5677.271041,71.88
Chile,2010,America,"17,113,688",14038.37229,79.168
Puerto Rico,2010,America,"3,749,009",18517.9079,78.326
Belgium,2010,Europe & Central Asia,"10,712,066",32832.33518,80.007
Thailand,2010,East Asia & Pacific,"69,122,234",7996.075059,73.852
Haiti,2010,America,"9,993,247",1148.748227,45
Iraq,2010,Middle East & North Africa,"31,671,591",3760.811656,68.753
Sierra Leone,2010,Sub-Saharan Africa,"5,867,536",889.5818389,44.846
Georgia,2010,Europe & Central Asia,"4,352,244",4388.666828,73.883
Denmark,2010,Europe & Central Asia,"5,550,142",32828.74123,78.969
Philippines,2010,East Asia & Pacific,"93,260,798",3434.695972,68.207
Moldova,2010,Europe & Central Asia,"3,572,885",2794.926563,68.541
"Macedonia, FYR",2010,Europe & Central Asia,"2,060,563",8732.604054,74.731
Morocco,2010,Middle East & North Africa,"31,951,412",4263.175989,70.246
Namibia,2010,Sub-Saharan Africa,"2,283,289",5159.794219,62.594
Mongolia,2010,East Asia & Pacific,"2,756,001",3345.801346,66.825
Guinea-Bissau,2010,Sub-Saharan Africa,"1,515,224",595.5368598,53.578
Switzerland,2010,Europe & Central Asia,"7,664,318",37220.03817,82.192
Czech Rep.,2010,Europe & Central Asia,"10,492,960",22526.65908,77.267
Portugal,2010,Europe & Central Asia,"10,675,572",20350.98257,79.291
Estonia,2010,Europe & Central Asia,"1,341,140",16865.75955,74.094
Kosovo,2010,Europe & Central Asia,,3762.324633,
Equatorial Guinea,2010,Sub-Saharan Africa,"700,401",13383.7634,51.483
"Korea, Rep.",2010,East Asia & Pacific,"48,183,584",25080.3515,80.772
Uzbekistan,2010,Europe & Central Asia,"27,444,702",2753.989417,67.871
Tunisia,2010,Middle East & North Africa,"10,480,934",7664.840299,75.147
Timor-Leste,2010,East Asia & Pacific,"1,124,355",2987.64296,65.952
Colombia,2010,America,"46,294,841",7417.802828,73.424
Reunion,2010,Sub-Saharan Africa,"846,068",,78.879
Burundi,2010,Sub-Saharan Africa,"8,382,849",468.4321824,52.638
Taiwan,2010,East Asia & Pacific,"23,025,000",31372.91051,79.15
Cyprus,2010,Europe & Central Asia,"1,103,647",24436.9442,79.348
Barbados,2010,America,"273,331",16223.53076,74.875
Madagascar,2010,Sub-Saharan Africa,"20,713,819",995.2184871,63.38
Italy,2010,Europe & Central Asia,"60,550,848",26549.34432,81.923
Bhutan,2010,South Asia,"725,940",5273.68657,67.015
Sudan,2010,Sub-Saharan Africa,"34,136,520",2597.127808,61.49
Nepal,2010,South Asia,"29,959,364",1203.934997,67.113
Malta,2010,Europe & Central Asia,"416,515",22034.2506,79.225
Suriname,2010,America,"524,636",8431.137039,70.309
Venezuela,2010,America,"28,979,857",10956.60355,74.159
Israel,2010,Middle East & North Africa,"7,418,400",26459.26565,81.295
Central African Rep.,2010,Sub-Saharan Africa,"4,401,051",701.6569599,48.139
Iceland,2010,Europe & Central Asia,"320,136",33316.46521,81.707
Czechoslovakia,2010,Europe & Central Asia,,,
East Germany,2010,Europe & Central Asia,,,
Austria,2010,Europe & Central Asia,"8,393,644",35816.33659,80.595
Papua New Guinea,2010,East Asia & Pacific,"6,858,266",2073.925052,61.994
Cote d'Ivoire,2010,Sub-Saharan Africa,"19,737,800",1512.080876,49.642
Zimbabwe,2010,Sub-Saharan Africa,"12,571,454",479.8247801,53.684
Germany,2010,Europe & Central Asia,"82,302,465",32886.85849,80.234
Gambia,2010,Sub-Saharan Africa,"1,728,394",793.6184343,58.109
Kazakhstan,2010,Europe & Central Asia,"16,026,367",11040.26145,66.108
Poland,2010,Europe & Central Asia,"38,276,660",17089.72163,75.902
Mauritania,2010,Sub-Saharan Africa,"3,459,773",1801.646396,61.064
Kyrgyzstan,2010,Europe & Central Asia,"5,334,223",2018.144688,67.054
